theta0_pop,5.44944e-05,-5.43007e-07,8.32803e-06,-2.61288e-05,-3.34745e-05,-1.92285e-05,-2.15605e-05,4.34948e-05,0.00125555,2.05376e-06,-0.000288911
beta_theta0_WEIGHTB,-5.43007e-07,5.9027e-09,-9.58938e-08,2.19937e-07,3.03846e-07,1.5832e-07,1.79638e-07,-4.74581e-07,-1.07003e-05,-1.75169e-08,2.82768e-06
beta_theta0_SEX_Male,8.32803e-06,-9.58938e-08,3.8481e-06,-3.42601e-06,-6.25508e-06,-3.42064e-06,-3.87943e-06,7.2493e-06,0.000154407,3.36787e-07,-4.62838e-05
beta_theta0_TRTACT_1600_mg,-2.61288e-05,2.19937e-07,-3.42601e-06,2.50238e-05,2.10279e-05,1.26776e-05,1.46959e-05,-9.49217e-06,-0.000954965,-2.0897e-06,0.000226762
beta_theta0_TRTACT_200_mg,-3.34745e-05,3.03846e-07,-6.25508e-06,2.10279e-05,2.92825e-05,1.54019e-05,1.76159e-05,-1.75408e-05,-0.00110238,-2.21584e-06,0.000237053
beta_theta0_TRTACT_400_mg,-1.92285e-05,1.5832e-07,-3.42064e-06,1.26776e-05,1.54019e-05,1.13899e-05,1.11173e-05,-1.30008e-05,-0.000641837,-1.13625e-06,0.000109751
beta_theta0_TRTACT_800_mg,-2.15605e-05,1.79638e-07,-3.87943e-06,1.46959e-05,1.76159e-05,1.11173e-05,1.42219e-05,2.25565e-06,-0.000808764,-1.40713e-06,0.000169554
beta_time_pop,4.34948e-05,-4.74581e-07,7.2493e-06,-9.49217e-06,-1.75408e-05,-1.30008e-05,2.25565e-06,0.00894216,-0.00993299,-1.85396e-06,0.00164964
beta_beta_time_SEX_Male,0.00125555,-1.07003e-05,0.000154407,-0.000954965,-0.00110238,-0.000641837,-0.000808764,-0.00993299,0.112909,0.000108647,-0.0164801
omega_theta0,2.05376e-06,-1.75169e-08,3.36787e-07,-2.0897e-06,-2.21584e-06,-1.13625e-06,-1.40713e-06,-1.85396e-06,0.000108647,3.97864e-07,-2.64244e-05
omega_beta_time,-0.000288911,2.82768e-06,-4.62838e-05,0.000226762,0.000237053,0.000109751,0.000169554,0.00164964,-0.0164801,-2.64244e-05,0.0090387
